FacilityName,FacilityNameNum,Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,capacityNum,lat,lon
Adair Wind Farm I,Adair Wind Farm I,Adair,Commercial Scale Wind,Shafer Systems,MidAmerican Energy,Alliant/IES Utilities,IA,0.23 MW,1,1994,Vestas,In Service,"41.499234°, -94.692628°",0.23,41.499234,-94.692628
Adair Wind Farm II,Adair Wind Farm II,Adair,Commercial Scale Wind,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,IA,174.8 MW,230,2008,Siemens,In Service,"41.499234°, -94.692628°",174.8,41.499234,-94.692628
Adams Wind Project,Adams Wind Project,Adams Wind Project,Commercial Scale Wind,,Juhl Wind,,Meeker County MN,19.8 MW,12,2011,Alstom,In Service,"43.680643°, -92.701006°",19.8,43.680643,-92.701006
Aegir II,Aegir II,Aegir II,Offshore Wind,,,,Lake Michigan MI,500 MW,100,,,Proposed,"43.098°, -86.597°",500,43.098,-86.597
Aero Turbine,Aero Turbine,Aero Turbine,Commercial Scale Wind,AeroTurbine Energy Company,,,Riverside County CA,5 MW,39,1989,,In Service,"33.7437°, -115.9925°",5,33.7437,-115.9925
Aeroman Repower Wind Farm,Aeroman Repower Wind Farm,Aeroman repower (2003),Commercial Scale Wind,Coram Energy,Coram Energy,Southern California Edison Co,Tehachapi CA,3 MW,2,2003,GE Energy,In Service,"35.044965°, -118.278036°",3,35.044965,-118.278036
Affinity Wind Farm,Affinity Wind Farm,Affinity,Commercial Scale Wind,Affinity Wind LLC,Affinity Wind LLC,,"Pittsfield, Illinois",150 MW,75,2012,Suzlon Energy Company,Under Construction,"39.606658053878°, -90.986366271973°",150,39.606658053878,-90.986366271973
Agassiz Beach Wind Farm,Agassiz Beach Wind Farm,Agassiz Beach,Commercial Scale Wind,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Clay County MN,1.98 MW,3,2001,Vestas,In Service,"46.8844°, -96.5042°",1.98,46.8844,-96.5042
Agriwind Wind Farm,Agriwind Wind Farm,Agriwind,Commercial Scale Wind,John Deere Wind,John Deere Wind,Wabash Valley Power Association,IL,8.4 MW,4,2008,Suzlon Energy Company,In Service,"41.252069°, -89.579542°",8.4,41.252069,-89.579542
Ainsworth Wind Energy Facility,Ainsworth Wind Energy Facility,Ainsworth Wind Energy Facility,Commercial Scale Wind,Nebraska Public Power District and consortium of public utilities,Nebraska Public Power District and consortium of public utilities,Nebraska Public Power District and consortium of public utilities,Ainsworth NE,59.4 MW,36,2005,Vestas,In Service,"42.460023°, -99.876037°",59.4,42.460023,-99.876037
Airforce Wind Farm,Airforce Wind Farm,Airforce,Community Wind,Airforce,Airforce,,WY,2 MW,1,2009,Gamesa,In Service,"43.0759678°, -107.2902839°",2,43.0759678,-107.2902839
Akron-Westfield School District Wind Farm,Akron-Westfield School District Wind Farm,Akron-Westfield School District,Community Wind,Akron-Westfield Comm. Schools,,Alliant/IES Utilities,Akron-Westfield IA,0.6 MW,1,1999,Vestas,In Service,"42.7859°, -96.5836°",0.6,42.7859,-96.5836
Alaska Village Cooperative Wind Farm,Alaska Village Cooperative Wind Farm,Alaska Village Cooperative,Commercial Scale Wind,Alaska Village Elec Coop,Kotzebue Electric Assn Inc,Alaska Village Elec Coop,Toksook Bay AK,0.3 MW,3,2005,Northern Power Systems,In Service,"60.5315°, -165.109°",0.3,60.5315,-165.109
Alite Wind Farm,Alite Wind Farm,Alite Wind Farm,Commercial Scale Wind,Terra-Gen Power LLC,Allco/Oak Creek Energy,California Portland Cement,Mojave CA,24 MW,8,2008,Vestas,In Service,"35.04046°, -118.29939°",24,35.04046,-118.29939
Alleghany High School Wind Project,Alleghany High School Wind Project,Alleghany High School,Community Wind,,,,NC,,1,,SkyStream,,"36.514774°, -81.124809°",0,36.514774,-81.124809
Allegheny Ridge Wind Farm,Allegheny Ridge Wind Farm,Allegheny Ridge wind farm,Commercial Scale Wind,GE Energy,Gamesa,First Energy Corp.,Cambria and Blair Counties PA,80 MW,40,2007,Gamesa,In Service,"40.397243°, -78.546156°",80,40.397243,-78.546156
Alta I,Alta I,Alta I,Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,150 MW,100,2010,GE Energy,In Service,"35.01917213°, -118.3031845°",150,35.01917213,-118.3031845
Alta II (Vestas),Alta II (Vestas),Alta II (Vestas),Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,150 MW,50,2010,Vestas,In Service,"35.01917213°, -118.3031845°",150,35.01917213,-118.3031845
Alta III,Alta III,Alta III,Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,150 MW,50,2011,Vestas,In Service,"35.01917213°, -118.3031845°",150,35.01917213,-118.3031845
Alta IV,Alta IV,Alta IV,Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,102 MW,34,2011,Vestas,In Service,"35.01917213°, -118.3031845°",102,35.01917213,-118.3031845
Alta Mesa I Wind Farm,Alta Mesa I Wind Farm,Alta Mesa I,Commercial Scale Wind,SeaWest,SeaWest,Southern California Edison Co,San Gorgonio CA,18.72 MW,117,,Danwin,In Service,"33.9095°, -116.734°",18.72,33.9095,-116.734
Alta Mesa II Wind Farm,Alta Mesa II Wind Farm,Alta Mesa II,Commercial Scale Wind,SeaWest,SeaWest,Southern California Edison Co,San Gorgonio CA,9.45 MW,42,,Vestas,In Service,"33.9095°, -116.734°",9.45,33.9095,-116.734
Alta V,Alta V,Alta V,Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,168 MW,56,2011,Vestas,In Service,"35.01917213°, -118.3031845°",168,35.01917213,-118.3031845
Altech Energy Wind Farm,Altech Energy Wind Farm,Altech Energy Ltd,Commercial Scale Wind,SeaWest,SeaWest,Pacific Gas & Electric Co,Altamont Pass CA,5.76 MW,144,,Enertech,In Service,"37.7347°, -121.652°",5.76,37.7347,-121.652
Altech III (a),Altech III (a),Altech III,Commercial Scale Wind,SeaWest,SeaWest,Southern California Edison Co,San Gorgonio CA,3.31 MW,51,,NEG Micon,In Service,"33.9095°, -116.734°",3.31,33.9095,-116.734
Altech III (b),Altech III (b),Altech III,Commercial Scale Wind,SeaWest,SeaWest,Southern California Edison Co,San Gorgonio CA,21.71 MW,201,,NEG Micon,In Service,"33.9095°, -116.734°",21.71,33.9095,-116.734
American Windmill Museum Wind Farm,American Windmill Museum Wind Farm,American Windmill Museum,Community Wind,American Wind Power Center,American Wind Power Center,American Windmill Museum,Lubbock TX,0.66 MW,1,2005,Vestas,In Service,"33.5637°, -101.869°",0.66,33.5637,-101.869
Anacacho Wind Farm,Anacacho Wind Farm,Anacacho,Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables,Undisclosed PPA,"West of Uvalde, Texas",99 MW,55,2012,Vestas,In Service,"29.192204°, -100.192095°",99,29.192204,-100.192095
Anheuser-Busch Fairfield,Anheuser-Busch Fairfield,Anheuser-Busch Fairfield,Community Wind,Foundation Windpower,Foundation Windpower,Anheuser-Busch,Fairfield CA,1.5 MW,1,2011,GE Energy,In Service,"38.2322979°, -122.0892727°",1.5,38.2322979,-122.0892727
Antelope Ridge Wind Farm,Antelope Ridge Wind Farm,Antelope Ridge Wind Farm,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,,Union County OR,300 MW,164,,Undetermined,Proposed,"45.207914°, -117.914075°",300,45.207914,-117.914075
Apex Offshore Phase 1,Apex Offshore Phase 1,Apex Offshore Phase 1,Offshore Wind,Apex Wind Energy,Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited,,Atlantic Ocean NC,600 MW,165,,,Proposed,"34.169°, -77.12°",600,34.169,-77.12
Apex Offshore Phase 2,Apex Offshore Phase 2,Apex Offshore Phase 2,Offshore Wind,Apex Wind Energy,Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited,,Atlantic Ocean NC,"1,300 MW",360,,,Proposed,"34.169°, -76.91°",1300,34.169,-76.91
Appalachian State,Appalachian State,Appalachian State,Definition:Small Scale Wind,,,,Boone NC,0.1 MW,1,2009,Northern Power Systems,In Service,"36.21342836°, -81.69232965°",0.1,36.21342836,-81.69232965
Appanoose Elementary School Wind Project,Appanoose Elementary School Wind Project,Appanoose Elementary School,Community Wind,,,,KS,,1,,SkyStream,,"38.693932°, -95.459846°",0,38.693932,-95.459846
Applied Materials Wind Turbine,Applied Materials Wind Turbine,Applied Materials,Community Wind,Applied Materials,Applied Materials,Applied Materials,Gloucester MA,2.5 MW,1,2012,Kenersys,In Service,"42.62895426°, -70.65153122°",2.5,42.62895426,-70.65153122
Aragonne Mesa Wind Farm,Aragonne Mesa Wind Farm,Aragonne Mesa,Commercial Scale Wind,GE Energy,Babcock & Brown,Arizona Public Service,Guadalupe County NM,90 MW,90,2006,Mitsubishi,In Service,"34.796889°, -105.054188°",90,34.796889,-105.054188
Archbold Local Schools Wind Turbine,Archbold Local Schools Wind Turbine,Archbold Local Schools Wind Turbine,Community Wind,Archbold Area Local Schools District,Archbold Area Local Schools District,Archbold Area Local Schools District,Archbold OH,0.75 MW,1,2012,Aeronautica,In Service,"41.51543828°, -84.31605577°",0.75,41.51543828,-84.31605577
Arends Brothers,Arends Brothers,Arends Brothers,Definition:Small Scale Wind,,,,Ashmore IL,0.1 MW,1,2009,Northern Power Systems,In Service,"39.53129531°, -88.02976191°",0.1,39.53129531,-88.02976191
Armenia Mountain Wind Energy Project,Armenia Mountain Wind Energy Project,Armenia Mountain Wind Energy Project,Commercial Scale Wind,AES Armenia Mountain Wind,AES,Old Dominion Electric,Tioga and Bradford Counties PA,101 MW,67,2010,GE Energy,In Service,"41.763272°, -76.842613°",101,41.763272,-76.842613
Arnold Wind Farm,Arnold Wind Farm,Arnold Wind Farm,Community Wind,,David Arnold,,Wilmont MN,1.65 MW,1,2005,Vestas,In Service,"43.762°, -95.8274°",1.65,43.762,-95.8274
Ashtabula - NextEra Wind Farm,Ashtabula - NextEra Wind Farm,Ashtabula - NextEra,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,Northeastern Barnes County- ND ND,148.5 MW,99,2008,GE Energy,In Service,"47.123021°, -97.895°",148.5,47.123021,-97.895
Ashtabula - Otter Tail Wind Farm,Ashtabula - Otter Tail Wind Farm,Ashtabula - Otter Tail,Commercial Scale Wind,Otter Tail Power Co.,NextEra Energy Resources,Otter Tail Power Co.,Northeastern Barnes County- ND ND,48 MW,32,2008,GE Energy,In Service,"47.123021°, -97.895°",48,47.123021,-97.895
Ashtabula II Wind Farm,Ashtabula II Wind Farm,Ashtabula II,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Minnkota Power Cooperative,Griggs & Steele Counties ND,120 MW,80,2009,GE Energy,In Service,"47.133005°, -97.950597°",120,47.133005,-97.950597
Ashtabula III,Ashtabula III,Ashtabula III,Commercial Scale Wind,,NextEra Energy Resources,,Barnes County ND,62.4 MW,39,2010,GE Energy,In Service,"47.135175°, -97.935219°",62.4,47.135175,-97.935219
Auburn-Washburn Wind Project,Auburn-Washburn Wind Project,Auburn-Washburn,Community Wind,Auburn-Washburn School District,,,KS,0.0021 MW,1,,SkyStream,,"38.95692°, -95.758223°",0.0021,38.95692,-95.758223
Aurora Wal Mart Wind Farm,Aurora Wal Mart Wind Farm,Aurora Wal Mart,Definition:Small Scale Wind,Aurora Wal Mart,Aurora Wal Mart,Aurora Wal Mart,Aurora CO,0.05 MW,1,2005,Bergey Windpower,In Service,"39.760714°, -104.773079°",0.05,39.760714,-104.773079
Auwahi Wind,Auwahi Wind,Auwahi Wind,Commercial Scale Wind,BP Wind Energy / Sempra Energy,Sempra Generation,Maui Electric Co,Maui HI,24 MW,8,2012,Siemens,In Service,"20.596379°, -156.318304°",24,20.596379,-156.318304
Avery County High School Wind Project,Avery County High School Wind Project,Avery County High School,Community Wind,,,,NC,,1,,SkyStream,,"36.068371°, -81.918159°",0,36.068371,-81.918159
BLM-JCI,BLM-JCI,BLM-JCI,Definition:Small Scale Wind,BLM-JCI,,BLM-JCI,Rawlins WY,0.1 MW,1,2010,Northern Power Systems,In Service,"41.79754379°, -107.2415829°",0.1,41.79754379,-107.2415829
Baileyville Wind Project,Baileyville Wind Project,Baileyville Wind Project,Commercial Scale Wind,Apex Wind Energy,Apex Wind Energy,,Ogle County IL,80 MW,40,,Gamesa,Under Construction,"41.9227°, -89.3006°",80,41.9227,-89.3006
Baldwin Wind Farm,Baldwin Wind Farm,Baldwin Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,Burleigh County near Wilton ND,102.4 MW,64,2010,GE Energy,In Service,"47.059561°, -100.776°",102.4,47.059561,-100.776
Bancroft-Rosalie Public Schools Wind Project,Bancroft-Rosalie Public Schools Wind Project,Bancroft-Rosalie Public Schools,Community Wind,,,,NE,,1,,SkyStream,,"42.008919°, -96.570847°",0,42.008919,-96.570847
Banner Wind Project,Banner Wind Project,Banner Wind Project,Commercial Scale Wind,Bering Straits Native Corporation and Sitnasuak Native Corporation,Western Community Energy,Nome Joint Utilities,Nome AK,0.9 MW,18,2008,Entegrity,In Service,"64.507553°, -165.419189°",0.9,64.507553,-165.419189
Bartlett's Ocean View Wind Farm,Bartlett's Ocean View Wind Farm,Bartlett's Ocean View Wind Farm,Community Wind,Bartlett's Ocean View Wind Farm,,Bartlett's Ocean View Wind Farm,Nantucket MA,0.25 MW,1,2009,Wind Energy Solutions,In Service,"41.259168°, -70.131913°",0.25,41.259168,-70.131913
Barton Chapel Wind Farm,Barton Chapel Wind Farm,Barton Chapel Wind,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,,Jack County TX,120 MW,60,2009,Gamesa,In Service,"33.073442°, -98.30084°",120,33.073442,-98.30084
Barton Wind Farm,Barton Wind Farm,Barton Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,NIPSCO,Worth County IA,160 MW,80,2009,Gamesa,In Service,"43.365893°, -93.095412°",160,43.365893,-93.095412
Baseline Wind Energy Facility,Baseline Wind Energy Facility,Baseline Wind Energy Facility,Commercial Scale Wind,First Wind,First Wind,,Gilliam County OR,500 MW,250,,Undetermined,Proposed,"45.626863°, -120.162885°",500,45.626863,-120.162885
Bayonne Wind Energy Project,Bayonne Wind Energy Project,Bayonne Wind Energy Project,Community Wind,Bayonne Municipal Utility Authority,Bayonne Municipal Utility Authority,,Bayonne NJ,1.5 MW,1,2012,Leitner-Poma,In Service,"40.65277771°, -74.11774993°",1.5,40.65277771,-74.11774993
Bayshore Regional Sewerage Authority (BRSA),Bayshore Regional Sewerage Authority (BRSA),Bayshore Regional Sewerage Authority (BRSA),Community Wind,Bayshore Regional Sewerage Authority (BRSA),Bayshore Regional Sewerage Authority (BRSA),Bayshore Regional Sewerage Authority (BRSA),Union Beach NJ,1.5 MW,1,,GE Energy,Proposed,"40.4497613°, -74.1764619°",1.5,40.4497613,-74.1764619
Bear Creek Wind Farm,Bear Creek Wind Farm,Bear Creek,Commercial Scale Wind,Babcock & Brown owns majority,CEI Iberdrola,PPL Corp.,Near Bear Creek Village PA,24 MW,12,2006,Gamesa,In Service,"41.1801°, -75.7216°",24,41.1801,-75.7216
Beaulieu Wind Farm,Beaulieu Wind Farm,Beaulieu,Definition:Small Scale Wind,Private owner,Private owner,Maine Public Power,Aroostook County ME,0.05 MW,1,1999,Atlantic Orient Co.,In Service,"46.551388°, -67.808333°",0.05,46.551388,-67.808333
Beebe Community Wind,Beebe Community Wind,Beebe Community Wind,Commercial Scale Wind,Exelon Wind,Nordex,Consumers Energy,Ithaca MI,81.6 MW,34,2012,Nordex,In Service,"43.3061272°, -84.5722881°",81.6,43.3061272,-84.5722881
Beech Ridge Energy Wind Farm,Beech Ridge Energy Wind Farm,Beech Ridge Energy,Commercial Scale Wind,Invenergy,Invenergy,AEP-Appalachian Power,Greenbrier County WV,84 MW,56,,GE Energy,Under Construction,"38.06692°, -80.498571°",84,38.06692,-80.498571
Bellevue High School,Bellevue High School,Bellevue High School,Definition:Small Scale Wind,Bellevue High School,,Bellevue High School,Bellevue WA,0.1 MW,1,2010,Northern Power Systems,In Service,"41.28241024°, -82.84591019°",0.1,41.28241024,-82.84591019
Bennett Creek,Bennett Creek,Bennett Creek,Commercial Scale Wind,Idaho Windfarms / John Deere,Idaho Windfarms,,Elmore County ID,21 MW,10,2009,Suzlon Energy Company,In Service,"43.0466399°, -115.485481°",21,43.0466399,-115.485481
Bent Tree Wind Farm,Bent Tree Wind Farm,Bent Tree Wind Farm,Commercial Scale Wind,Wisconsin Power and Light Co.,Wisconsin Power and Light Co.,,4 miles North of Albert Lea MN,201.3 MW,122,2011,Vestas,In Service,"43.78544°, -93.452282°",201.3,43.78544,-93.452282
Bergey Windpower Headquarters Wind Farm,Bergey Windpower Headquarters Wind Farm,Bergey Windpower Headquarters,Definition:Small Scale Wind,Bergey Windpower,Bergey Windpower,Bergey Windpower,Norman OK,0.05 MW,1,2005,Bergey Windpower 50-kW,In Service,"35.243076°, -97.456799°",0.05,35.243076,-97.456799
Berkshire East Ski Area,Berkshire East Ski Area,Berkshire East Ski Area,Community Wind,Sustainable Energy Development,,Berkshire East Ski Area,Charlemont MA,0.9 MW,1,2010,PowerWind,In Service,"42.61621237°, -72.86660671°",0.9,42.61621237,-72.86660671
Berkshire Wind Farm,Berkshire Wind Farm,Berkshire Wind Farm,Commercial Scale Wind,,Berkshire Wind Power LLC with DisGen and MTC,Consortium of municipal utilities,Brodie Mountain MA,15 MW,10,2011,,In Service,"42.636188°, -73.244491°",15,42.636188,-73.244491
Big Blue Wind Farm,Big Blue Wind Farm,Big Blue Wind Farm,Commercial Scale Wind,Exergy,Exergy,Xcel Energy,Blue Earth MN,36 MW,18,2012,Gamesa,In Service,"43.64324946°, -94.22179699°",36,43.64324946,-94.22179699
Big Horn 2,Big Horn 2,Big Horn 2,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,MSR Public Power Agency,Near Bickleton WA,50 MW,33,2010,GE Energy,In Service,"45.871889°, -120.292354°",50,45.871889,-120.292354
Big Horn Wind Power Project,Big Horn Wind Power Project,Big Horn Wind Power Project,Commercial Scale Wind,Iberdrola Renewables,PPM Energy Inc,Modesto-Santa Clara-Redding Public Power Agency,Klickitat County WA,199.5 MW,133,2006,GE Energy,In Service,"45.935948°, -120.284085°",199.5,45.935948,-120.284085
Big Sky Wind Facility,Big Sky Wind Facility,Big Sky Wind Facility,Commercial Scale Wind,Edison Mission Energy,Edison Mission Energy,PJM Market,Bureau County IL,239.4 MW,132,2011,Suzlon Energy Company,In Service,"41.579967°, -89.46177°",239.4,41.579967,-89.46177
Big Smile Wind Farm (Dempsey Ridge),Big Smile Wind Farm (Dempsey Ridge),Big Smile Wind Farm (Dempsey Ridge),Commercial Scale Wind,Acciona,Acciona,,Roger Mills County OK,132 MW,66,2012,Acciona,In Service,"35.508363°, -99.739494°",132,35.508363,-99.739494
Big Spring I Wind Farm,Big Spring I Wind Farm,Big Spring I,Commercial Scale Wind,Caithness,York Research,TXU Electric & Gas,Howard County TX,27.72 MW,42,1999,Vestas,In Service,"32.146715°, -101.398244°",27.72,32.146715,-101.398244
Big Spring II Wind Farm,Big Spring II Wind Farm,Big Spring II,Commercial Scale Wind,Caithness,York Research,TXU Electric & Gas,Howard County TX,6.6 MW,4,1999,Vestas,In Service,"32.146715°, -101.398244°",6.6,32.146715,-101.398244
Big Wind Power Project (Lanai),Big Wind Power Project (Lanai),Big Wind Power Project (Lanai),Commercial Scale Wind,,,,Lanai Island HI,400 MW,170,,Undetermined,Proposed,"20.828844°, -156.928825°",400,20.828844,-156.928825
Big Windy (Great Escape Restaurant Turbine),Big Windy (Great Escape Restaurant Turbine),Big Windy (Great Escape Restaurant Turbine),Community Wind,Great Escape Restaurant,,,Schiller Park IL,1 MW,0.108,2009,Micon,In Service,"41.95547°, -87.865193°",1,41.95547,-87.865193
Biglow Canyon Phase II Wind Farm,Biglow Canyon Phase II Wind Farm,Biglow Canyon Phase II,Commercial Scale Wind,Portland General Electric,Orion Energy Group,Portland General Electric,Sherman County OR,149.5 MW,65,2009,Siemens,In Service,"45.6375°, -120.605278°",149.5,45.6375,-120.605278
Biglow Canyon Phase III Wind Farm,Biglow Canyon Phase III Wind Farm,Biglow Canyon Phase III,Commercial Scale Wind,Portland General Electric,Orion Energy Group,Portland General Electric,Sherman County OR,174.8 MW,76,2009,Siemens,In Service,"45.6375°, -120.605278°",174.8,45.6375,-120.605278
Biglow Canyon Wind Farm,Biglow Canyon Wind Farm,Biglow Canyon Wind Farm,Commercial Scale Wind,Portland General Electric,Orion/Portland General Electric,Portland General Electric,Sherman County OR,125.4 MW,76,2007,Vestas,In Service,"45.629003°, -120.605607°",125.4,45.629003,-120.605607
Bingham Lake Wind Farm,Bingham Lake Wind Farm,Bingham Lake Wind Farm,Commercial Scale Wind,Edison Mission Group owns majority,Edison Mission Group,Alliant Energy,Bingham Lake MN,15 MW,12,2006,Suzlon Energy Company,In Service,"43.909°, -95.0464°",15,43.909,-95.0464
Bishop Hill I,Bishop Hill I,Bishop Hill I,Commercial Scale Wind,Ivenergy,Ivenergy,Tennessee Valley Authority,Altona IL,209 MW,,2012,GE Energy,In Service,"41.15978766°, -90.10059357°",209,41.15978766,-90.10059357
Bishop Hill II,Bishop Hill II,Bishop Hill II,Commercial Scale Wind,MidAmerican Energy,Ivenergy,Ameren Illinois,Cambridge IL,80 MW,50,2012,GE Energy,In Service,"41.24438513°, -90.09338379°",80,41.24438513,-90.09338379
Bison Wind 1B,Bison Wind 1B,Bison Wind 1B,Commercial Scale Wind,Minnesota Power,Minnesota Power,Minnesota Power,McIntosh ND,45 MW,15,2012,Siemens,In Service,"46°, -101.5°",45,46,-101.5
Bison Wind 2,Bison Wind 2,Bison Wind 2,Commercial Scale Wind,Minnesota Power,Minnesota Power,Minnesota Power,New Salem ND,105 MW,35,2012,Siemens,In Service,"46.96338499°, -101.5030289°",105,46.96338499,-101.5030289
Bison Wind 2A,Bison Wind 2A,Bison Wind 2A,Commercial Scale Wind,,Minnesota Windpower,Minnesota Windpower,Northwest of New Salem ND,37.95 MW,15,2012,Siemens,In Service,"46.9815°, -101.507421°",37.95,46.9815,-101.507421
Bison Wind 3,Bison Wind 3,Bison Wind 3,Commercial Scale Wind,Minnesota Power,Minnesota Power,Minnesota Power,New Salem ND,105 MW,35,2012,Siemens,In Service,"46.93924603°, -101.5126419°",105,46.93924603,-101.5126419
Bison Wind Farm 1A,Bison Wind Farm 1A,Bison Wind 1A,Commercial Scale Wind,Minnesota Power,Minnesota Windpower,Minnesota Windpower,Northwest of New Salem ND,75.9 MW,33,2011,Siemens,In Service,"46.9815°, -101.507421°",75.9,46.9815,-101.507421
Bitworks Wind Farm,Bitworks Wind Farm,Bitworks,Definition:Small Scale Wind,Bitworks Inc.,Bitworks Inc.,Bitworks Inc.,Washington County AR,0.1 MW,1,2003,NEG Micon,In Service,"35.976663°, -94.316975°",0.1,35.976663,-94.316975
Blackfeet Nation Wind Farm,Blackfeet Nation Wind Farm,Blackfeet Nation,Definition:Small Scale Wind,,,,Blackfeet Reservation MT,0.1 MW,1,1996,Vestas,In Service,"48.554858°, -113.010503°",0.1,48.554858,-113.010503
Blackwell,Blackwell,Blackwell,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Oklahoma State University via Oklahoma Gas & Electric,Nardin OK,59.8 MW,26,2012,Siemens,In Service,"36.85261694°, -97.43310928°",59.8,36.85261694,-97.43310928
Block Island Wind Farm,Block Island Wind Farm,Block Island Wind Farm,Commercial Scale Wind,,Deepwater Wind,,Offshore from Block Island RI,20 MW,8,,Undetermined,Proposed,"41.1°, -71.53°",20,41.1,-71.53
Bloomfield Public Schools Wind Project,Bloomfield Public Schools Wind Project,Bloomfield Public Schools,Community Wind,,,,NE,,1,,SkyStream,,"42.594536°, -97.642433°",0,42.594536,-97.642433
Blue Breezes I & II Wind Farm,Blue Breezes I & II Wind Farm,Blue Breezes I & II,Community Wind,John Deere Wind Energy,Dan Moore/John Deere Wind Energy,City of Blue Earth,City of Blue Earth MN,2.5 MW,2,2006,Suzlon Energy Company,In Service,"43.6352°, -94.0942°",2.5,43.6352,-94.0942
Blue Canyon II Wind Farm,Blue Canyon II Wind Farm,Blue Canyon II,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,American Electric Power,North of Lawton OK,151.2 MW,84,2005,Vestas,In Service,"34.8582°, -98.54752°",151.2,34.8582,-98.54752
Blue Canyon V Wind Farm,Blue Canyon V Wind Farm,Blue Canyon V,Commercial Scale Wind,Horizon-EDPR,Horizon-EDPR,Public Service of Oklahoma,Caddo & Comanche Counties OK,99 MW,66,2009,GE Energy,In Service,"34.8582°, -98.54752°",99,34.8582,-98.54752
